Date,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,RH,Temp,PM2.5_SubIndex,PM10_SubIndex,SO2_SubIndex,NOx_SubIndex,NH3_SubIndex,CO_SubIndex,O3_SubIndex,Checks,AQI_calculated,AQI_bucket_calculated
2024-01-01,90.77,141.06,5.36,4.85,6.93,8.44,3.24,0.59,12.86,70.76,27.42,202.56666666666663,127.37333333333332,4.05,8.6625,2.11,29.5,12.86,7.0,203.0,Very Unhealthy
2024-01-02,60.41,106.35,5.42,5.08,7.11,8.21,2.74,0.52,12.25,71.11,27.78,101.36666666666666,104.23333333333332,3.425,8.8875,2.0525,26.0,12.25,7.0,104.0,Unhealthy for Sensitive Groups
2024-01-03,62.33,121.83,8.18,8.78,11.13,11.94,2.43,0.7,11.05,76.51,33.43,107.76666666666668,114.55333333333331,3.0375000000000005,13.9125,2.985,35.0,11.05,7.0,115.0,Unhealthy for Sensitive Groups
2024-01-04,58.43,93.83,8.63,7.81,11.17,8.43,2.43,0.63,11.54,77.32,27.58,97.38333333333333,93.83,3.0375000000000005,13.9625,2.1075,31.5,11.54,7.0,97.0,Moderate
2024-01-05,52.82,83.17,7.47,6.83,9.71,9.34,2.55,0.62,11.81,75.04,27.54,88.03333333333333,83.17,3.1875,12.1375,2.335,31.0,11.81,7.0,88.0,Moderate
2024-01-06,21.36,43.64,4.98,5.18,6.8,8.91,2.29,0.47,11.09,78.17,27.44,35.6,43.64,2.8625,8.5,2.2275,23.5,11.09,7.0,44.0,Good
2024-01-07,15.62,29.58,6.31,5.51,8.06,8.81,2.62,0.53,9.84,84.91,27.5,26.03333333333333,29.58,3.275,10.075,2.2025,26.5,9.84,7.0,30.0,Good
2024-01-08,30.22,52.62,6.75,4.32,7.79,8.5,2.41,0.51,13.3,84.44,27.52,50.36666666666667,52.62,3.0125,9.7375,2.125,25.5,13.3,7.0,53.0,Moderate
2024-01-09,44.76,79.71,4.68,3.51,5.68,8.31,2.75,0.49,29.65,76.5,27.65,74.6,79.71,3.4375,7.1,2.0775,24.5,29.65,7.0,80.0,Moderate
2024-01-10,43.93,82.32,4.01,3.85,5.31,8.01,2.44,0.42,63.29,73.34,27.68,73.21666666666667,82.32,3.05,6.6375,2.0025,21.0,63.29,7.0,82.0,Moderate
2024-01-11,55.16,94.78,5.2,4.51,6.63,8.34,2.71,0.54,53.32,73.35,27.66,91.93333333333332,94.78,3.3875,8.2875,2.085,27.0,53.32,7.0,95.0,Moderate
2024-01-12,65.64,108.62,6.28,5.52,8.05,8.92,2.23,0.56,42.48,75.67,27.69,118.8,105.74666666666668,2.7875,10.062500000000002,2.23,28.000000000000004,42.48,7.0,119.0,Unhealthy for Sensitive Groups
2024-01-13,99.78,152.86,5.35,5.8,7.44,10.06,2.99,0.64,40.41,77.77,27.56,232.6,135.24,3.7375,9.3,2.515,32.0,40.41,7.0,233.0,Very Unhealthy
