Date,Temp,RH,PM2.5_SubIndex,PM10_SubIndex,SO2_SubIndex,NO2_SubIndex,NH3_SubIndex,CO_SubIndex,O3_SubIndex,AQI_calculated,PM2.5,PM10,NO2,NH3,SO2,CO,Ozone
2024-01-01,27.42,70.76,202.56666666666663,127.37333333333332,4.05,6.062499999999999,2.11,29.5,12.86,203.0,,,,,,,
2024-01-02,27.78,71.11,101.36666666666666,104.23333333333332,3.425,6.35,2.0525,26.0,12.25,104.0,,,,,,,
2024-01-03,33.43,76.51,107.76666666666668,114.55333333333331,3.0375000000000005,10.974999999999998,2.985,35.0,11.05,115.0,,,,,,,
2024-01-04,27.58,77.32,97.38333333333333,93.83,3.0375000000000005,9.7625,2.1075,31.5,11.54,97.0,,,,,,,
2024-01-05,27.54,75.04,88.03333333333333,83.17,3.1875,8.5375,2.335,31.0,11.81,88.0,,,,,,,
2024-01-06,27.44,78.17,35.6,43.64,2.8625,6.475,2.2275,23.5,11.09,44.0,,,,,,,
2024-01-07,27.5,84.91,26.03333333333333,29.58,3.275,6.8875,2.2025,26.5,9.84,30.0,,,,,,,
2024-01-08,27.52,84.44,50.36666666666667,52.62,3.0125,5.4,2.125,25.5,13.3,53.0,,,,,,,
2024-01-09,27.65,76.5,74.6,79.71,3.4375,4.3875,2.0775,24.5,29.65,80.0,,,,,,,
2024-01-10,27.68,73.34,73.21666666666667,82.32,3.05,4.8125,2.0025,21.0,63.29,82.0,,,,,,,
2024-01-11,27.66,73.35,91.93333333333332,94.78,3.3875,5.6375,2.085,27.0,53.32,95.0,,,,,,,
2024-01-12,27.69,75.67,118.8,105.74666666666668,2.7875,6.9,2.23,28.000000000000004,42.48,119.0,,,,,,,
2024-01-13,27.56,77.77,232.6,135.24,3.7375,7.25,2.515,32.0,40.41,233.0,,,,,,,
2024-01-14,27.58,76.52,350.44615384615383,197.38666666666668,2.825,9.6,2.8975,43.0,19.65,350.0,,,,,,,
2024-01-15,27.56,73.61,240.3333333333333,138.34666666666666,3.3625,7.275,2.445,29.5,12.42,240.0,,,,,,,
2024-01-16,27.53,68.48,81.08333333333333,86.11,2.925,6.825,1.9975,25.0,11.31,86.0,,,,,,,
2024-01-17,27.49,69.98,47.0,83.05,3.4375,7.05,1.8525,39.0,9.51,83.0,,,,,,,
2024-01-18,27.53,73.52,51.06666666666667,80.68,3.4125,8.3125,1.93,37.5,7.73,81.0,,,,,,,
2024-01-19,27.54,75.14,53.28333333333333,78.26,3.2125,6.825,2.235,35.0,7.17,78.0,,,,,,,
2024-01-20,27.48,74.03,58.333333333333336,76.3,3.4875,5.6375,2.3325,23.0,7.15,76.0,,,,,,,
2024-01-21,27.45,72.43,51.96666666666667,79.08,3.9125,6.725,2.1775,32.0,6.61,79.0,,,,,,,
2024-01-22,27.51,72.67,58.25000000000001,88.27,2.7750000000000004,6.4375,2.14,43.0,6.56,88.0,,,,,,,
2024-01-23,27.47,71.47,59.01666666666666,75.03,2.625,6.05,2.2475,27.500000000000004,9.03,75.0,,,,,,,
2024-01-24,27.36,72.02,87.4,116.98666666666666,3.4375,9.0,2.245,36.5,6.95,117.0,,,,,,,
2024-01-25,27.34,71.41,86.95,123.04,2.675,7.9,2.385,31.5,6.32,123.0,,,,,,,
2024-01-26,27.28,73.05,77.46666666666667,108.48666666666666,3.3375,6.8125,2.835,32.5,6.39,108.0,,,,,,,
2024-01-27,27.42,72.18,56.33333333333333,76.02,3.4375,4.7125,2.7475,29.5,7.93,76.0,,,,,,,
2024-01-28,27.57,70.58,67.46666666666667,84.34,2.375,3.3375,2.485,30.5,12.15,84.0,,,,,,,
2024-01-29,27.36,65.97,72.73333333333333,87.6,3.6375,3.875,2.215,35.5,13.84,88.0,,,,,,,
2024-01-30,27.36,70.24,73.18333333333332,95.9,3.55,6.875,2.0375,28.000000000000004,10.19,96.0,,,,,,,
2024-01-31,27.44,74.02,53.41666666666666,84.8,3.6375,7.875,1.885,30.0,7.22,85.0,,,,,,,
2024-02-01,27.71,77.43,43.16666666666666,70.16,3.4875,6.275,1.9325,29.0,10.64,70.0,,,,,,,
2024-02-02,27.91,74.88,22.383333333333333,37.15,2.9125,13.5125,2.1725,25.5,5.28,37.0,,,,,,,
2024-02-03,27.94,72.32,33.28333333333333,55.16,2.475,32.575,2.1725,38.0,5.77,55.0,,,,,,,
2024-02-04,27.78,71.75,29.05,54.88,3.3375,31.0125,2.1725,24.5,5.03,55.0,,,,,,,
2024-02-05,27.86,71.72,45.41666666666666,69.0,2.4875,31.4,2.1725,25.0,6.09,69.0,,,,,,,
2024-02-06,27.86,73.2,91.61666666666667,107.83333333333331,2.7625,22.825000000000003,2.2675,29.0,8.46,108.0,,,,,,,
2024-02-07,27.44,73.71,99.81666666666666,113.37333333333332,3.4375,7.8,2.28,43.0,5.32,113.0,,,,,,,
2024-02-08,27.62,76.23,73.93333333333334,112.80666666666666,2.9125,6.95,2.4,26.5,4.88,113.0,,,,,,,
2024-02-09,27.77,74.07,63.48333333333334,93.16,2.4125,5.5875,2.665,22.5,6.5,93.0,,,,,,,
2024-02-10,27.7,72.06,87.16666666666666,102.92,2.9125,4.475,2.6725,21.0,6.36,103.0,,,,,,,
2024-02-11,27.67,69.51,77.76666666666665,97.67,2.9625,3.4625,2.5,21.5,10.41,98.0,,,,,,,
2024-02-12,27.56,68.69,40.8,67.56,3.1875,3.85,1.975,21.0,9.67,68.0,,,,,,,
2024-02-13,27.57,73.23,49.93333333333333,76.6,2.0125,5.35,1.97,25.0,6.22,77.0,,,,,,,
2024-02-14,27.73,71.97,48.05,74.82,3.1625,4.3125,2.0075,23.0,7.51,75.0,,,,,,,
2024-02-15,27.87,70.32,68.06666666666668,88.25,2.6875,5.25,2.07,23.5,7.2,88.0,,,,,,,
2024-02-16,27.54,71.01,59.4,76.04,3.1875,4.325,1.91,21.5,7.89,76.0,,,,,,,
2024-02-17,27.58,73.06,54.31666666666667,74.84,2.5874999999999995,4.825,1.9275,22.0,5.99,75.0,,,,,,,
2024-02-18,27.47,73.9,84.76666666666667,92.5,2.8999999999999995,6.6375,2.025,23.5,5.68,92.0,,,,,,,
2024-02-19,27.47,72.07,74.3,90.25,2.975,6.5125,2.035,23.5,6.66,90.0,,,,,,,
2024-02-20,27.63,72.8,74.06666666666666,97.23,2.7875,7.45,2.2025,23.0,6.01,97.0,,,,,,,
2024-02-21,27.47,74.94,76.66666666666667,99.78,2.9375,7.275,2.3825,23.5,6.62,100.0,,,,,,,
2024-02-22,27.59,75.67,62.45,79.43,3.5875,6.15,2.695,22.5,7.82,79.0,,,,,,,
2024-02-23,27.71,77.05,57.516666666666666,69.81,2.925,5.0375,2.56,22.5,7.51,70.0,,,,,,,
2024-02-24,28.44,74.19,48.03333333333333,57.67,3.4375,4.2125,2.3,21.5,7.52,58.0,,,,,,,
2024-02-25,27.54,69.73,39.15,48.84,2.6625,3.425,1.965,20.0,7.83,49.0,,,,,,,
2024-02-26,27.58,71.78,42.56666666666667,64.1,3.2125,3.6,1.9625,19.5,7.51,64.0,,,,,,,
2024-02-27,27.56,72.09,47.31666666666667,65.47,3.275,3.125,1.845,19.0,8.29,65.0,,,,,,,
2024-02-28,27.62,72.82,51.7,72.39,3.2875,5.2875000000000005,1.73,20.5,7.62,72.0,,,,,,,
2024-02-29,27.49,73.0,71.11666666666667,93.4,3.5875,6.95,1.865,25.0,7.0,93.0,,,,,,,
2024-03-01,27.61,73.48,69.85,87.82,3.25,7.1875,2.3175,21.0,7.22,88.0,,,,,,,
2024-03-02,27.45,74.68,99.16666666666666,119.92,3.4375,11.3,2.62,22.0,7.13,120.0,,,,,,,
2024-03-03,27.6,70.27,70.38333333333333,74.58,3.525,4.725,2.705,20.0,10.18,75.0,,,,,,,
2024-03-04,27.77,70.93,77.21666666666667,103.76666666666668,3.4,9.55,2.4825,22.5,7.75,104.0,,,,,,,
2024-03-05,27.57,71.82,70.8,100.93333333333334,3.425,8.9625,2.335,20.5,7.5,101.0,,,,,,,
2024-03-06,27.64,72.71,87.43333333333334,135.57333333333335,3.75,9.8125,2.4225,22.0,5.53,136.0,,,,,,,
2024-03-07,27.47,71.93,54.75,73.69,4.15,6.35,2.575,20.5,6.02,74.0,,,,,,,
2024-03-08,27.69,73.74,67.85,80.96,3.6875,5.387499999999999,2.545,20.5,5.96,81.0,,,,,,,
2024-03-09,28.29,74.32,67.0,89.59,4.0625,5.6000000000000005,2.4675,20.0,5.56,90.0,,,,,,,
2024-03-10,27.72,71.81,51.98333333333333,64.36,3.25,3.925,2.23,18.5,6.5,64.0,,,,,,,
2024-03-11,27.55,70.91,60.7,72.14,3.15,4.8875,2.1775,18.5,8.91,72.0,,,,,,,
2024-03-12,27.52,73.52,49.9,77.78,4.5125,6.25,2.0725,19.5,8.41,78.0,,,,,,,
2024-03-13,27.51,74.68,62.48333333333333,90.29,3.1,6.3,2.065,18.5,8.26,90.0,,,,,,,
2024-03-14,27.6,74.01,59.53333333333333,76.21,4.025,5.237500000000001,2.06,19.5,9.29,76.0,,,,,,,
2024-03-15,27.6,72.21,43.68333333333333,63.75,3.8,6.324999999999999,1.8975,21.5,7.66,64.0,,,,,,,
2024-03-16,27.7,74.41,30.883333333333333,52.51,3.725,4.4625,1.85,18.5,6.19,53.0,,,,,,,
2024-03-17,27.62,71.8,13.683333333333335,28.62,4.5125,3.7,1.6925,23.0,5.31,29.0,,,,,,,
2024-03-18,27.66,71.97,21.366666666666667,41.78,3.45,4.525,1.665,19.0,5.27,42.0,,,,,,,
