Date,Selected_Model,Drift_Score
2026-01-30 15:25:17.797862,VECM_RETRAIN,1
2026-01-31 05:23:41.382318,VECM_RETRAIN,1
2026-01-31 12:46:22.967947,VECM_RETRAIN,1
2026-01-31 12:50:37.907260,VECM_RETRAIN,1
2026-02-01 05:37:10.185358,VECM_RETRAIN,1
2026-02-01 05:44:30.960883,VECM_RETRAIN,1
2026-02-02 05:47:23.276085,VECM_RETRAIN,1
2026-02-03 05:35:35.187279,VECM_RETRAIN,1
2026-02-04 05:33:02.245057,VECM_RETRAIN,1
2026-02-05 05:39:30.647096,PROPHET,2
2026-02-06 05:36:49.005703,PROPHET,2
2026-02-07 05:28:17.599549,PROPHET,2
2026-02-08 05:47:06.311231,PROPHET,2
2026-02-09 05:52:45.232921,PROPHET,2
2026-02-10 05:57:05.408876,PROPHET,2
2026-02-11 05:52:48.657176,PROPHET,2
2026-02-12 05:48:39.870185,VECM_RETRAIN,1
2026-02-13 05:44:51.686363,VECM_RETRAIN,1
2026-02-14 05:31:42.677813,VECM_RETRAIN,1
2026-02-15 05:40:16.070951,VECM_RETRAIN,1
2026-02-16 05:51:16.659861,VECM_RETRAIN,1
2026-02-17 05:43:07.224187,VECM_RETRAIN,1
2026-02-18 05:45:20.672376,VECM_RETRAIN,1
2026-02-19 05:43:15.877197,PROPHET,2
2026-02-20 05:37:55.378619,PROPHET,2
